見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
潜在介護職員再就職支援研修会,,,,1月28日（月）10:00～16:30,和歌山ビッグ愛（和歌山市）,,20人（先着順）,,,,郵送、電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を1月21日までに県福祉人材センターハートワーク 〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5211 ファックス073-435-5209Eメール　jinzai@wakayamakenshakyo.or.jp ,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,jinzai@wakayamakenshakyo.or.jp,
成年後見制度・くらしなんでも相談会,第1部　成年後見制度説明会第2部　なんでも相談会,,,(1)1月11日（金）(2)16日（水） (3)2月4日（月）(4)7日（木） 第1部13:30～、第2部14:30～,(1)西牟婁振興局（田辺市）(2)伊都振興局（橋本市）(3)県民文化会館（和歌山市）(4)東牟婁振興局（新宮市）,,8人（先着順）（第2部のみ要申込）,,,,郵送、ファックスで所定の申込書（申込先、ウェブサイトで配布）を開催3日前までに県庁福祉保健総務課ファックス073-425-6560※手話通訳・要約筆記あり県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040100/soumu_top.html,,,
和歌山県出身沖縄並びに南方諸地域戦没者追悼式,,,,1月24日（木）14:30～,紀乃国之塔（沖縄県糸満市）,,,,,,電話、ファックスで氏名、電話番号、参列人数を1月16日までに県庁福祉保健総務課ファックス073-425-6560県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040100/soumu_top.html,,,
福祉のしごと就職相談会inかいなん・わかやま,開催地域で活躍している事業所が相談に応じます,,,(1)1月27日（日）15:00～16:30(2)2月15日（金）13:00～14:30 ,(1)海南保健福祉センター（海南市）(2)和歌山市民会館,,,,,県福祉人材センターハートワーク電話073-435-5211,,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,,
福祉・介護・保育のしごとフェア,求人事業所との個別面談、相談など,,,2月10日（日）13:00～15:30,紀南文化会館（田辺市）,,,,,紀南福祉人材バンク電話0739-26-4918,,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,,
和歌山ペアレント・メンター協会主催グループ相談会,テーマ：子どもの気になる行動について,,,1月18日（金）10:00～12:00,和歌山市中央コミュニティセンター,発達の気になる幼児または小中学生の保護者,15人（先着順）,,,,ファックス、Eメールで所定の申込書（申込先で配布）を1月11日までに和歌山県自閉症協会電話0739-25-1018 ファックス0739-25-3823Eメール　parent2018mentor@yahoo.co.jp ,,,,,,parent2018mentor@yahoo.co.jp,
「はじめての手話」講座,,,,(1)1月25日（金）18:30～20:00(2)25日（金）14:00～15:30(3)27日（日）13:30～15:00(4)2月9日（土）10:00～11:30(5)16日（土）10:00～11:30 (6)17日（日）13:30～15:00(7)24日（日）14:00～15:30(8)27日（水）19:00～20:30(9)3月5日（火）18:30～20:00,(1)橋本保健所(2) 西牟婁振興局（田辺市） (3)有田振興局（湯浅町） (4)和歌山市中央コミュニティセンター (5)新宮保健所串本支所 (6)御坊保健所(7)東牟婁振興局（新宮市）(8)那賀振興局（岩出市）(9)海南保健所,はじめて手話を学ぶ方,,,,,電話で住所、氏名、電話番号を開催１週間前までに各振興局健康福祉部（串本支所）[(4)のみ県庁障害福祉課]※ファックスの場合は会場名を記入のうえ県庁障害福祉課ファックス073-432-5567県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040400/index.html,,,
認知症疾患医療センター市民公開講座,テーマ：認知症になってもだいじょうぶ！そんな社会を創っていこうよ,,,1月26日（土）15:00～17:00,県立医大講堂（和歌山市）,,400人,,,県立医大認知症疾患医療センター電話073-441-0776,,,,,http://www.wakayama-med.ac.jp/,,,
県難病・子ども保健相談支援センターからのお知らせ,(1)難病患者支援者研修会,災害が起こった時に、避難所で役立つ知識を学ぶ,,1月26日（土） 13:30～15:30,上富田文化会館（上富田町）,,30人（先着順）,,,,電話、ファックスで研修（交流）会名、住所、氏名、電話（ファックス）番号を開催10日前までに県難病・子ども保健相談支援センター電話073-445-0520 ファックス073-445-0603※(1)(2)(4)手話通訳・要約筆記は要予約県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,(2)病気の子供支援者研修会,,,1月29日（火）14:00～15:30,プラザホープ（和歌山市）,,50人（先着順）,,,,電話、ファックスで研修（交流）会名、住所、氏名、電話（ファックス）番号を開催10日前までに県難病・子ども保健相談支援センター電話073-445-0520 ファックス073-445-0603※(1)(2)(4)手話通訳・要約筆記は要予約県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,(3)疾患別患者・家族交流会,,,[1]下垂体機能障害 1月31日（木）13:30～15:30[2]ベーチェット病 2月2日（土）10:00～12:00[3]筋萎縮性側索硬化症 3月2日（土）13:30～15:30,[1][2]*県難病・子ども保健相談支援センター（和歌山市）[3]県立医大病院（和歌山市）,患者、家族 ,各10人（先着順）,,,,電話、ファックスで研修（交流）会名、住所、氏名、電話（ファックス）番号を開催10日前までに県難病・子ども保健相談支援センター電話073-445-0520 ファックス073-445-0603※(1)(2)(4)手話通訳・要約筆記は要予約県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,(4)ピア・サポート研修会,,,2月16日（土）13:30～16:30,プラザホープ（和歌山市）,,30人（先着順）,,,,電話、ファックスで研修（交流）会名、住所、氏名、電話（ファックス）番号、[(4)のみ一時保育の有無]を開催10日前までに県難病・子ども保健相談支援センター電話073-445-0520 ファックス073-445-0603※(1)(2)(4)手話通訳・要約筆記は要予約,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
聴覚障害者文化教室,テーマ：家計にやさしい省エネ節約術,,,2月4日（月）13:30～15:00,和歌山ビッグ愛（和歌山市）,,20人 (抽選),,,,郵送、ファックスで所定の申込書（申込先、ウェブサイトで配布）を1月21日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311 ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,,
あいサポーター研修＆精神・発達障害者しごとサポーター養成講座,,,,(1)1月22日（火）(2)2月7日（木） いずれも13:30～15:50,(1)和歌山労働局（和歌山市）(2)情報交流センターBig・U（田辺市）,,各50人（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号を(1)1月15日(2)31日までに和歌山労働局 〒640-8581和歌山市黒田2-3-3電話073-488-1161 ファックス073-475-0115,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/,,,
県消費生活センターからのお知らせ,(1)生活教養講座,今話題の生活情報や災害に備える製品安全の知識などを学ぶ,,2月6日（水）・13日（水）・19日（火）・27日（水） いずれも13:30～15:00（全4回）※１回のみの受講可,西牟婁振興局（田辺市）,,各40人（先着順,,郵送、電話、ファックスで住所、氏名、電話番号、受講希望日を1月25日までに問合先,県消費生活センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階 電話073-433-1551 ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
県消費生活センターからのお知らせ,(2)「消費生活サポーター」養成講座,地域での啓発活動ボランティアを募集,,[1]2月18日（月）[2]21日（木）[3]25日（月）[4]28日（木）  いずれも10:00～16:30,[1]日高振興局（御坊市）[2]東牟婁振興局 （新宮市）[3]和歌山ビッグ愛（和歌山市）[4]有田振興局（湯浅町）,県内在住で20歳以上の方,各40人（先着順）,,郵送、ファックスで所定の申込書（ウェブサイトで配布）を2月12日までに問合先,県消費生活センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階 電話073-433-1551 ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
